Date,Price,Open,High,Low,Vol.,Change %,EPU,GPRD,Gold,MA50,EMA50,OBV,MACD,MACD Signal,PSAR
2014-04-01,463.5,444.7,487.4,438.0,3970.0,0.0423,111.57838819623936,120.92815399169922,1279.5999755859375,463.5,463.5,3970.0,0.0,0.0,463.5
2014-04-02,424.4,463.5,480.3,409.3,4380.0,-0.0843,111.57838819623936,94.74890899658205,1290.5,443.95,461.9666666666667,-410.0,-3.1190883190883483,-0.6238176638176697,424.4
2014-04-03,436.3,424.4,448.7,386.7,4019.999999999999,0.0281,111.57838819623936,63.2974739074707,1284.4000244140625,441.40000000000003,460.9601307189543,3609.999999999999,-4.577985568299027,-1.4146512447139414,487.4
2014-04-04,444.4,436.3,456.5,415.5,2570.0,0.0185,111.57838819623936,59.551780700683594,1303.199951171875,442.15,460.3107138280149,6179.999999999999,-5.022671611774058,-2.136255318125965,485.38599999999997
2014-04-05,456.6,444.4,461.2,439.4,1160.0,0.0276,111.57838819623936,60.44831085205078,1303.199951171875,445.03999999999996,460.165195638681,7339.999999999999,-4.340614561940811,-2.577127166888934,483.41227999999995
2014-04-06,455.7,456.6,472.4,446.3,3590.0,-0.0021,111.57838819623936,19.485692977905273,1303.199951171875,446.81666666666666,459.9900899273602,3749.999999999999,-3.8285685592288132,-2.8274154453569103,481.47803439999996
2014-04-07,462.4,455.7,485.1,448.0,3950.0,0.0147,111.57838819623936,56.96214294433594,1298.0,449.04285714285714,460.08459620471865,7699.999999999999,-2.8492895706741024,-2.8317902704203486,386.7
2014-04-08,466.6,462.4,480.7,457.6,3910.0,0.009,111.57838819623936,115.93987274169922,1308.699951171875,451.2375,460.34010223590616,11610.0,-1.71453492641416,-2.608339201619111,388.668
2014-04-09,457.3,466.6,479.7,451.1,3880.0,-0.0197999999999999,111.57838819623936,142.43226623535156,1305.5,451.9111111111111,460.22088254038044,7730.0,-1.5478236247698192,-2.396236086249253,390.59664
2014-04-10,384.6,457.3,463.5,384.6,3650.0,-0.159,111.57838819623936,85.1054916381836,1320.0999755859375,445.18,457.25535773487536,4080.0,-7.199000540863096,-3.356788977172022,485.1
2014-04-11,435.1,384.6,450.4,355.7,5160.0,0.1313,111.57838819623936,52.940582275390625,1318.699951171875,444.26363636363635,456.386520176645,9240.0,-7.516030882065934,-4.188637358150804,483.09000000000003
2014-04-12,437.6,435.1,469.8,428.0,5190.0,0.0058,111.57838819623936,62.67866897583008,1318.699951171875,443.7083333333333,455.64979389520795,14430.0,-7.4793335040104125,-4.846776587322726,477.99440000000004
2014-04-13,427.6,437.6,454.1,409.9,4970.0,-0.023,111.57838819623936,46.28338241577149,1318.699951171875,442.4692307692308,454.5498019777488,9460.0,-8.163068224861377,-5.510034914830456,473.10262400000005
2014-04-14,478.4,427.6,497.8,420.1,7620.0,0.1188,111.57838819623936,125.00255584716795,1327.199951171875,445.0357142857143,455.48510386097433,17080.0,-4.553309750031133,-5.318689881870592,355.7
2014-04-15,526.4,478.4,526.6,466.4,8000.0,0.1003999999999999,111.57838819623936,129.5658721923828,1300.0,450.46,458.26608018015185,25080.0,2.1557979980556183,-3.82379230588535,358.542
2014-04-16,537.0,526.4,549.0,496.1,8060.000000000001,0.02,111.57838819623936,143.8509521484375,1303.0999755859375,455.86875,461.35368487896943,33140.0,8.233237994441993,-1.4123862458198815,365.26432
2014-04-17,502.0,537.0,537.0,486.9,8000.0,-0.0650999999999999,111.57838819623936,82.81419372558594,1293.4000244140625,458.58235294117645,462.94765802097066,25140.0,10.108916191104413,0.8918742415649774,376.2884608
2014-04-18,485.5,502.0,512.2,472.0,8360.0,-0.0327999999999999,111.57838819623936,95.13902282714844,1293.4000244140625,460.0777777777778,463.8320635887757,16780.0,10.14702399542847,2.742904192337676,386.651153152
2014-04-19,506.0,485.5,516.9,473.2,8380.0,0.0421999999999999,111.57838819623936,53.1260871887207,1293.4000244140625,462.4947368421052,465.4857081539218,25160.0,11.696572571517947,4.53363786817373,396.39208396288
2014-04-20,498.5,506.0,522.2,488.7,7690.0,-0.0148,111.57838819623936,69.01182556152344,1293.4000244140625,464.29499999999996,466.78038626553274,17470.0,12.179021483593544,6.062714591257693,405.5485589251072
2014-04-21,495.2,498.5,524.7,490.7,7350.0,-0.0067,111.57838819623936,89.93396759033203,1288.0,465.7666666666667,467.89488092178635,10120.0,12.154968392101807,7.281165351426517,414.1556453896008
2014-04-22,487.9,495.2,520.5,483.4,5680.0,-0.0146,111.57838819623936,135.49290466308594,1280.5999755859375,466.77272727272725,468.6793953954418,4440.0,11.415269036749578,8.10798608849113,422.24630666622477
2014-04-23,487.3,487.9,510.0,482.3,4740.0,-0.0013,111.57838819623936,114.79195404052734,1284.199951171875,467.66521739130434,469.40961518385586,-300.0,10.657780720883864,8.617945014969678,429.8515282662513
2014-04-24,500.3,487.3,507.3,477.2,4230.0,0.0266999999999999,111.57838819623936,66.78563690185547,1290.5,469.02500000000003,470.62100282370466,3930.0,10.979887815622874,9.090333575100317,437.00043657027624
2014-04-25,464.5,500.3,502.5,438.3,6450.0,-0.0716,111.57838819623936,125.74397277832033,1300.699951171875,468.844,470.3809634972849,-2520.0,8.251283541522412,8.922523568384737,549.0
2014-04-26,457.9,464.5,468.7,448.6,6890.0,-0.0143,111.57838819623936,65.6263427734375,1300.699951171875,468.4230769230769,469.89151394837177,-9410.0,5.492960722309533,8.236610999169697,546.786
2014-04-27,443.2,457.9,461.4,437.4,6960.0,-0.0321,111.57838819623936,81.62384796142578,1300.699951171875,467.48888888888894,468.84478791118073,-16370.0,2.0966341748087416,7.008615634297506,544.61628
2014-04-28,441.9,443.2,451.1,420.8,4540.0,-0.0028,111.57838819623936,116.31206512451172,1298.9000244140625,466.575,467.78812956172266,-20910.0,-0.6919023985871036,5.4685120277205845,540.3276288
2014-04-29,446.1,441.9,453.8,430.7,3720.0,0.0095,111.57838819623936,125.793701171875,1296.0,465.8689655172414,466.93761467694924,-17190.0,-2.533725612517344,3.868064499672999,533.1559710719999
2014-04-30,445.6,446.1,452.6,430.9,4080.0,-0.0011,111.57838819623936,182.05270385742188,1295.5999755859375,465.1933333333333,466.10084547393166,-21270.0,-3.9877611720066284,2.2968993653370737,526.41461280768
2014-05-01,460.1,445.6,464.5,444.5,4200.0,0.0325,107.68332428502475,79.18489074707031,1283.0999755859375,465.0290322580645,465.86551820044417,-17070.0,-3.9248230927232726,1.0525548737250046,520.0777360392192
2014-05-02,453.7,460.1,463.4,442.0,3380.0,-0.0139999999999999,107.68332428502475,92.1181182861328,1302.5999755859375,464.675,465.3884390553287,-20450.0,-4.341326613595584,-0.026221423739113136,514.121071876866
2014-05-03,438.6,453.7,454.2,429.1,2580.0,-0.0331,107.68332428502475,93.72142791748048,1302.5999755859375,463.88484848484853,464.3379120335511,-23030.0,-5.822731632927514,-1.1855234655767934,508.52180756425406
