Date,Price,Open,High,Low,Vol.,Change %,EPU,GPRD,Gold
2014-05-08,441.1,446.5,455.5,439.5,2540.0,-0.0121999999999999,107.68332428502475,121.40300750732422,1287.4000244140625
2014-05-09,445.5,441.1,455.8,438.5,2270.0,0.0098,107.68332428502475,119.73136138916016,1287.300048828125
2014-05-10,451.9,445.5,459.5,441.4,450.0,0.0144999999999999,107.68332428502475,50.381256103515625,1287.300048828125
2014-05-11,433.2,451.9,455.4,429.0,1890.0,-0.0412999999999999,107.68332428502475,94.45203399658205,1287.300048828125
2014-05-12,438.2,433.2,441.1,430.2,1390.0,0.0115,107.68332428502475,93.84044647216795,1295.5999755859375
2014-05-13,433.9,438.2,442.3,432.7,2650.0,-0.0098,107.68332428502475,114.07518005371094,1294.5999755859375
2014-05-14,442.6,433.9,444.3,433.9,2200.0,0.0200999999999999,107.68332428502475,113.31475067138672,1305.699951171875
2014-05-15,448.1,442.6,450.0,441.5,2170.0,0.0124,107.68332428502475,60.22850036621094,1293.5
2014-05-16,453.6,448.1,455.1,441.9,1760.0,0.0123,107.68332428502475,79.4108657836914,1293.300048828125
2014-05-17,452.8,453.6,455.9,452.2,1710.0,-0.0019,107.68332428502475,40.28379821777344,1293.300048828125
2014-05-18,450.1,452.8,454.0,449.0,1450.0,-0.0059,107.68332428502475,67.60342407226562,1293.300048828125
2014-05-19,443.9,450.1,451.7,441.2,1350.0,-0.0139,107.68332428502475,56.4642219543457,1293.699951171875
2014-05-20,484.6,443.9,486.2,437.3,1900.0,0.0916,107.68332428502475,77.7395248413086,1294.5
2014-05-21,488.8,484.6,495.2,481.7,1400.0,0.0088,107.68332428502475,94.7530746459961,1288.0
2014-05-22,515.4,488.8,519.3,485.5,3120.0,0.0542999999999999,107.68332428502475,58.45708084106445,1294.9000244140625
2014-05-23,518.1,515.4,540.9,515.2,2760.0,0.0053,107.68332428502475,110.1740951538086,1291.5999755859375
2014-05-24,520.5,518.1,526.7,510.4,2860.0,0.0046,107.68332428502475,66.56834411621094,1291.5999755859375
2014-05-25,570.4,520.5,575.2,520.5,1870.0,0.096,107.68332428502475,111.29180908203124,1291.5999755859375
2014-05-26,582.0,570.4,586.4,564.7,2960.0,0.0203,107.68332428502475,43.230899810791016,1291.5999755859375
2014-05-27,570.1,582.0,586.2,555.3,3350.0,-0.0204999999999999,107.68332428502475,68.70510864257812,1265.4000244140625
2014-05-28,570.8,570.1,581.8,562.6,3570.0,0.0013,107.68332428502475,96.48255157470705,1259.300048828125
2014-05-29,564.4,570.8,573.8,557.7,3730.0,-0.0112,107.68332428502475,114.96981048583984,1256.300048828125
2014-05-30,612.3,564.4,613.3,564.0,6210.0,0.0849,107.68332428502475,64.87747955322266,1245.5999755859375
2014-05-31,627.9,612.3,629.0,604.7,4410.0,0.0254,107.68332428502475,48.314571380615234,1245.5999755859375
2014-06-01,649.8,627.9,675.0,622.0,3550.0,0.0348,92.11171825766009,34.79587936401367,1245.5999755859375
2014-06-02,655.5,649.8,662.6,625.5,4130.0,0.0088,92.11171825766009,57.27783203125,1243.699951171875
2014-06-03,669.4,655.5,676.5,631.4,4360.0,0.0213,92.11171825766009,84.3966293334961,1244.300048828125
2014-06-04,638.9,669.4,669.8,602.1,5600.0,-0.0455999999999999,92.11171825766009,76.4748306274414,1244.0
2014-06-05,660.2,638.9,665.4,635.6,2760.0,0.0333,92.11171825766009,107.98065185546876,1253.0
2014-06-06,650.4,660.2,663.8,647.1,6040.0,-0.0148,92.11171825766009,52.97283172607422,1252.0999755859375
2014-06-07,651.7,650.4,659.8,641.0,1970.0,0.0019,92.11171825766009,23.87436294555664,1252.0999755859375
